PERMNO,date,TICKER,PERMCO,RET,dateff,mktrf,smb,hml,rf,umd
86580,1/31/2006,NVDA,16382,0.229759,1/31/2006,0.0304,0.054,0.0108,0.0035,0.0253
86580,2/28/2006,NVDA,16382,0.048265,2/28/2006,-0.003,-0.0038,-0.0034,0.0034,-0.0184
86580,3/31/2006,NVDA,16382,0.214937,3/31/2006,0.0146,0.0344,0.006,0.0037,0.0126
86580,4/28/2006,NVDA,16382,0.020608,4/28/2006,0.0073,-0.0142,0.0234,0.0036,0.0064
86580,5/31/2006,NVDA,16382,-0.213552,5/31/2006,-0.0357,-0.0296,0.0241,0.0043,-0.037
86580,6/30/2006,NVDA,16382,-0.073542,6/30/2006,-0.0035,-0.0039,0.0085,0.004,0.0154
86580,7/31/2006,NVDA,16382,0.039925,7/31/2006,-0.0078,-0.0398,0.026,0.004,-0.0212
86580,8/31/2006,NVDA,16382,0.314815,8/31/2006,0.0203,0.0103,-0.0206,0.0042,-0.0338
86580,9/29/2006,NVDA,16382,0.016489,9/29/2006,0.0184,-0.0136,0.0008,0.0041,-0.0096
86580,10/31/2006,NVDA,16382,0.178439,10/31/2006,0.0323,0.0175,-0.0031,0.0041,-0.002
86580,11/30/2006,NVDA,16382,0.060797,11/30/2006,0.0171,0.007,0.0014,0.0042,-0.0103
86580,12/29/2006,NVDA,16382,0.000541,12/29/2006,0.0087,-0.0115,0.0273,0.004,0.0079
86580,1/31/2007,NVDA,16382,-0.171845,1/31/2007,0.014,0.0012,-0.0068,0.0044,0.0024
86580,2/28/2007,NVDA,16382,0.011419,2/28/2007,-0.0196,0.0119,-0.0014,0.0038,-0.0135
86580,3/30/2007,NVDA,16382,-0.071613,3/30/2007,0.0068,0.0016,-0.0097,0.0043,0.0256
86580,4/30/2007,NVDA,16382,0.142807,4/30/2007,0.0349,-0.0216,-0.0145,0.0044,-0.0024
86580,5/31/2007,NVDA,16382,0.053177,5/31/2007,0.0324,0.0024,-0.0065,0.0041,-0.0034
86580,6/29/2007,NVDA,16382,0.192586,6/29/2007,-0.0196,0.0075,-0.0105,0.004,0.0051
86580,7/31/2007,NVDA,16382,0.107722,7/31/2007,-0.0373,-0.0261,-0.0371,0.004,0.0294
86580,8/31/2007,NVDA,16382,0.118007,8/31/2007,0.0092,-0.0013,-0.0186,0.0042,0.001
86580,9/28/2007,NVDA,16382,0.062549,9/28/2007,0.0322,-0.0223,-0.0221,0.0032,0.0463
86580,10/31/2007,NVDA,16382,-0.023731,10/31/2007,0.018,0.0008,-0.0298,0.0032,0.0502
86580,11/30/2007,NVDA,16382,-0.108536,11/30/2007,-0.0483,-0.0293,-0.0094,0.0034,0.0099
86580,12/31/2007,NVDA,16382,0.07863,12/31/2007,-0.0087,0.0013,-0.0055,0.0027,0.0663
86580,1/31/2008,NVDA,16382,-0.27719,1/31/2008,-0.0636,-0.0103,0.0397,0.0021,-0.0775
86580,2/29/2008,NVDA,16382,-0.130134,2/29/2008,-0.0309,-0.0043,-0.0084,0.0013,0.061
86580,3/31/2008,NVDA,16382,-0.074801,3/31/2008,-0.0093,0.0071,0.003,0.0017,0.0427
86580,4/30/2008,NVDA,16382,0.038403,4/30/2008,0.046,-0.0172,-0.0094,0.0018,-0.0031
86580,5/30/2008,NVDA,16382,0.201947,5/30/2008,0.0186,0.0296,-0.0143,0.0018,0.0331
86580,6/30/2008,NVDA,16382,-0.242105,6/30/2008,-0.0844,0.0123,-0.0271,0.0017,0.1275
86580,7/31/2008,NVDA,16382,-0.388889,7/31/2008,-0.0077,0.026,0.0542,0.0015,-0.0513
86580,8/29/2008,NVDA,16382,0.104895,8/29/2008,0.0153,0.036,0.0159,0.0013,-0.0402
86580,9/30/2008,NVDA,16382,-0.15269,9/30/2008,-0.0924,-0.0123,0.0591,0.0015,0.0028
86580,10/31/2008,NVDA,16382,-0.182073,10/31/2008,-0.1723,-0.026,-0.023,0.0008,0.0785
86580,11/28/2008,NVDA,16382,-0.14726,11/28/2008,-0.0786,-0.0285,-0.0631,0.0003,0.0717
86580,12/31/2008,NVDA,16382,0.080321,12/31/2008,0.0174,0.0346,0.0014,0,-0.0509
86580,1/30/2009,NVDA,16382,-0.01487,1/30/2009,-0.0812,0.0007,-0.1129,0,-0.0218
86580,2/27/2009,NVDA,16382,0.041509,2/27/2009,-0.101,0.0005,-0.0695,0.0001,0.0441
86580,3/31/2009,NVDA,16382,0.190821,3/31/2009,0.0895,0.0003,0.0347,0.0002,-0.1187
86580,4/30/2009,NVDA,16382,0.1643,4/30/2009,0.1018,0.0539,0.0536,0.0001,-0.343
86580,5/29/2009,NVDA,16382,-0.091463,5/29/2009,0.0521,-0.0252,0.0028,0,-0.1249
86580,6/30/2009,NVDA,16382,0.082454,6/30/2009,0.0043,0.0263,-0.0273,0.0001,0.0548
86580,7/31/2009,NVDA,16382,0.145261,7/31/2009,0.0772,0.0187,0.0483,0.0001,-0.0555
86580,8/31/2009,NVDA,16382,0.12297,8/31/2009,0.0333,-0.0108,0.0763,0.0001,-0.0907
86580,9/30/2009,NVDA,16382,0.035124,9/30/2009,0.0408,0.0243,0.0104,0.0001,-0.0479
86580,10/30/2009,NVDA,16382,-0.204258,10/30/2009,-0.0259,-0.0435,-0.0421,0,0.0261
86580,11/30/2009,NVDA,16382,0.091973,11/30/2009,0.0556,-0.024,-0.0034,0,0.003
86580,12/31/2009,NVDA,16382,0.430322,12/31/2009,0.0275,0.0605,-0.0016,0.0001,0.0301
86580,1/29/2010,NVDA,16382,-0.176124,1/29/2010,-0.0336,0.004,0.0043,0,-0.054
86580,2/26/2010,NVDA,16382,0.052632,2/26/2010,0.034,0.0119,0.0322,0,0.0374
86580,3/31/2010,NVDA,16382,0.074074,3/31/2010,0.0631,0.0148,0.0221,0.0001,0.0376
86580,4/30/2010,NVDA,16382,-0.097126,4/30/2010,0.02,0.0487,0.0289,0.0001,0.0316
86580,5/28/2010,NVDA,16382,-0.16359,5/28/2010,-0.0789,0.0009,-0.0244,0.0001,-0.0025
86580,6/30/2010,NVDA,16382,-0.222983,6/30/2010,-0.0557,-0.0181,-0.047,0.0001,-0.0276
86580,7/30/2010,NVDA,16382,-0.099902,7/30/2010,0.0693,0.002,-0.0031,0.0001,0.0188
86580,8/31/2010,NVDA,16382,0.01469,8/31/2010,-0.0477,-0.03,-0.019,0.0001,-0.0006
86580,9/30/2010,NVDA,16382,0.252761,9/30/2010,0.0954,0.0396,-0.0316,0.0001,0.0141
86580,10/29/2010,NVDA,16382,0.028976,10/29/2010,0.0388,0.0113,-0.0242,0.0001,0.0158
86580,11/30/2010,NVDA,16382,0.132149,11/30/2010,0.006,0.0376,-0.0096,0.0001,0.0266
86580,12/31/2010,NVDA,16382,0.131604,12/31/2010,0.0682,0.0073,0.0369,0.0001,-0.0303
86580,1/31/2011,NVDA,16382,0.553247,1/31/2011,0.0199,-0.025,0.0082,0.0001,-0.0029
86580,2/28/2011,NVDA,16382,-0.052676,2/28/2011,0.0349,0.0153,0.0127,0.0001,0.0199
86580,3/31/2011,NVDA,16382,-0.185349,3/31/2011,0.0046,0.0254,-0.0183,0.0001,0.034
86580,4/29/2011,NVDA,16382,0.083424,4/29/2011,0.029,-0.0038,-0.0243,0,0.0004
86580,5/31/2011,NVDA,16382,0.002,5/31/2011,-0.0127,-0.0059,-0.0212,0,-0.0062
86580,6/30/2011,NVDA,16382,-0.20484,6/30/2011,-0.0175,-0.0012,-0.0042,0,0.0178
86580,7/29/2011,NVDA,16382,-0.132099,7/29/2011,-0.0235,-0.0127,-0.0089,0,0.0018
86580,8/31/2011,NVDA,16382,-0.037599,8/31/2011,-0.0599,-0.0305,-0.0236,0.0001,-0.0028
86580,9/30/2011,NVDA,16382,-0.060105,9/30/2011,-0.0759,-0.0331,-0.0173,0,-0.0242
86580,10/31/2011,NVDA,16382,0.183054,10/31/2011,0.1135,0.0328,0.0011,0,-0.0143
86580,11/30/2011,NVDA,16382,0.056081,11/30/2011,-0.0028,-0.0016,-0.0045,0,0.0384
86580,12/30/2011,NVDA,16382,-0.113244,12/30/2011,0.0074,-0.0059,0.0163,0,0.0181
86580,1/31/2012,NVDA,16382,0.065657,1/31/2012,0.0505,0.0204,-0.0097,0,-0.0791
86580,2/29/2012,NVDA,16382,0.025728,2/29/2012,0.0442,-0.0185,0.0043,0,-0.0029
86580,3/30/2012,NVDA,16382,0.016172,3/30/2012,0.0311,-0.0064,0.0114,0,0.013
86580,4/30/2012,NVDA,16382,-0.15557,4/30/2012,-0.0085,-0.0042,-0.0078,0,0.0375
86580,5/31/2012,NVDA,16382,-0.043846,5/31/2012,-0.0619,0.0007,-0.0107,0.0001,0.0649
86580,6/29/2012,NVDA,16382,0.111826,6/29/2012,0.0389,0.0067,0.0062,0,-0.0106
86580,7/31/2012,NVDA,16382,-0.02026,7/31/2012,0.0079,-0.0275,-0.0002,0,0.0304
86580,8/31/2012,NVDA,16382,0.036189,8/31/2012,0.0255,0.0047,0.013,0.0001,-0.0237
86580,9/28/2012,NVDA,16382,-0.04918,9/28/2012,0.0273,0.0051,0.016,0.0001,-0.0114
86580,10/31/2012,NVDA,16382,-0.102324,10/31/2012,-0.0176,-0.0115,0.0359,0.0001,0.0014
86580,11/30/2012,NVDA,16382,0.005846,11/30/2012,0.0078,0.0063,-0.0084,0.0001,0.0049
86580,12/31/2012,NVDA,16382,0.024227,12/31/2012,0.0118,0.0148,0.0351,0.0001,-0.0286
86580,1/31/2013,NVDA,16382,0,1/31/2013,0.0557,0.0034,0.0096,0,-0.0179
86580,2/28/2013,NVDA,16382,0.038744,2/28/2013,0.0129,-0.0027,0.0011,0,0.0129
86580,3/28/2013,NVDA,16382,0.013428,3/28/2013,0.0403,0.0081,-0.0019,0,0.0192
86580,4/30/2013,NVDA,16382,0.073266,4/30/2013,0.0155,-0.0237,0.0045,0,0.0022
86580,5/31/2013,NVDA,16382,0.056282,5/31/2013,0.028,0.0171,0.0263,0,-0.0202
86580,6/28/2013,NVDA,16382,-0.029717,6/28/2013,-0.012,0.0133,0.0003,0,0.0052
86580,7/31/2013,NVDA,16382,0.028134,7/31/2013,0.0565,0.0187,0.0057,0,0.0176
86580,8/30/2013,NVDA,16382,0.027018,8/30/2013,-0.0271,0.0027,-0.0269,0,0.0002
86580,9/30/2013,NVDA,16382,0.054915,9/30/2013,0.0377,0.0287,-0.0122,0,0.0306
86580,10/31/2013,NVDA,16382,-0.023843,10/31/2013,0.0418,-0.0152,0.0125,0,0.0008
86580,11/29/2013,NVDA,16382,0.032655,11/29/2013,0.0313,0.0129,0.0032,0,0.0044
86580,12/31/2013,NVDA,16382,0.026923,12/31/2013,0.0281,-0.0047,-0.0002,0,0.0002
86580,1/31/2014,NVDA,16382,-0.019975,1/31/2014,-0.0332,0.0089,-0.0207,0,0.0171
86580,2/28/2014,NVDA,16382,0.176115,2/28/2014,0.0465,0.0034,-0.0031,0,0.0207
86580,3/31/2014,NVDA,16382,-0.025571,3/31/2014,0.0043,-0.0181,0.0493,0,-0.0329
86580,4/30/2014,NVDA,16382,0.031267,4/30/2014,-0.0019,-0.0418,0.0117,0,-0.0389
86580,5/30/2014,NVDA,16382,0.033297,5/30/2014,0.0206,-0.0188,-0.0013,0,0.0087
86580,6/30/2014,NVDA,16382,-0.02421,6/30/2014,0.0261,0.0309,-0.007,0,0.0069
86580,7/31/2014,NVDA,16382,-0.056095,7/31/2014,-0.0204,-0.043,0.0004,0,-0.0012
86580,8/29/2014,NVDA,16382,0.116286,8/29/2014,0.0424,0.004,-0.0045,0,0.0082
86580,9/30/2014,NVDA,16382,-0.051414,9/30/2014,-0.0197,-0.037,-0.0135,0,0.005
86580,10/31/2014,NVDA,16382,0.059079,10/31/2014,0.0252,0.042,-0.018,0,-0.0006
86580,11/28/2014,NVDA,16382,0.077533,11/28/2014,0.0255,-0.0206,-0.031,0,0.0068
86580,12/31/2014,NVDA,16382,-0.043872,12/31/2014,-0.0006,0.0249,0.0227,0,0.0112
86580,1/30/2015,NVDA,16382,-0.042145,1/30/2015,-0.0311,-0.0056,-0.0359,0,0.0384
86580,2/27/2015,NVDA,16382,0.153085,2/27/2015,0.0613,0.0063,-0.0186,0,-0.0282
86580,3/31/2015,NVDA,16382,-0.051451,3/31/2015,-0.0112,0.0304,-0.0038,0,0.0274
86580,4/30/2015,NVDA,16382,0.060693,4/30/2015,0.0059,-0.0306,0.0182,0,-0.0727
86580,5/29/2015,NVDA,16382,0.001464,5/29/2015,0.0136,0.0094,-0.0115,0,0.0582
86580,6/30/2015,NVDA,16382,-0.091279,6/30/2015,-0.0153,0.0291,-0.0079,0,0.0301
86580,7/31/2015,NVDA,16382,-0.007956,7/31/2015,0.0154,-0.0417,-0.0413,0,0.0998
86580,8/31/2015,NVDA,16382,0.131704,8/31/2015,-0.0604,0.0033,0.0277,0,-0.0209
86580,9/30/2015,NVDA,16382,0.09653,9/30/2015,-0.0307,-0.0262,0.0056,0,0.0522
86580,10/30/2015,NVDA,16382,0.150913,10/30/2015,0.0775,-0.0189,-0.0046,0,-0.0328
86580,11/30/2015,NVDA,16382,0.122136,11/30/2015,0.0057,0.0359,-0.0042,0,0.0228
86580,12/31/2015,NVDA,16382,0.039092,12/31/2015,-0.0217,-0.0285,-0.0261,0.0001,0.0336
86580,1/29/2016,NVDA,16382,-0.111347,1/29/2016,-0.0577,-0.0342,0.0209,0.0001,0.0144
86580,2/29/2016,NVDA,16382,0.074599,2/29/2016,-0.0007,0.0074,-0.0057,0.0002,-0.0438
86580,3/31/2016,NVDA,16382,0.136161,3/31/2016,0.0696,0.0082,0.0119,0.0002,-0.0501
86580,4/29/2016,NVDA,16382,-0.002807,4/29/2016,0.0091,0.0076,0.0328,0.0001,-0.0602
86580,5/31/2016,NVDA,16382,0.318182,5/31/2016,0.0178,-0.0017,-0.0166,0.0001,0.0143
86580,6/30/2016,NVDA,16382,0.006207,6/30/2016,-0.0005,0.0061,-0.0148,0.0002,0.0415
86580,7/29/2016,NVDA,16382,0.214635,7/29/2016,0.0395,0.0249,-0.0132,0.0002,-0.0334
86580,8/31/2016,NVDA,16382,0.07627,8/31/2016,0.0049,0.0116,0.0318,0.0002,-0.0348
86580,9/30/2016,NVDA,16382,0.117052,9/30/2016,0.0025,0.0212,-0.0124,0.0002,0.0019
86580,10/31/2016,NVDA,16382,0.038529,10/31/2016,-0.0202,-0.044,0.0409,0.0002,0.0059
86580,11/30/2016,NVDA,16382,0.297639,11/30/2016,0.0486,0.0571,0.0821,0.0001,-0.0463
86580,12/30/2016,NVDA,16382,0.157701,12/30/2016,0.0182,0.001,0.0353,0.0003,-0.0025
86580,1/31/2017,NVDA,16382,0.022859,1/31/2017,0.0194,-0.0118,-0.0275,0.0004,-0.0093
86580,2/28/2017,NVDA,16382,-0.069243,2/28/2017,0.0357,-0.0205,-0.0167,0.0004,-0.0165
86580,3/31/2017,NVDA,16382,0.073413,3/31/2017,0.0017,0.0114,-0.0335,0.0003,-0.0103
86580,4/28/2017,NVDA,16382,-0.042504,4/28/2017,0.0109,0.0073,-0.0213,0.0005,0.0049
86580,5/31/2017,NVDA,16382,0.385331,5/31/2017,0.0106,-0.0257,-0.0378,0.0006,0.0148
86580,6/30/2017,NVDA,16382,0.001455,6/30/2017,0.0078,0.0225,0.0148,0.0006,-0.0011
86580,7/31/2017,NVDA,16382,0.12417,7/31/2017,0.0187,-0.015,-0.0031,0.0007,0.0169
86580,8/31/2017,NVDA,16382,0.043505,8/31/2017,0.0016,-0.0167,-0.021,0.0009,0.033
86580,9/29/2017,NVDA,16382,0.055064,9/29/2017,0.0251,0.0447,0.0312,0.0009,-0.0133
86580,10/31/2017,NVDA,16382,0.15685,10/31/2017,0.0225,-0.0194,0.0019,0.0009,0.0427
86580,11/30/2017,NVDA,16382,-0.02877,11/30/2017,0.0312,-0.0054,-0.0003,0.0008,-0.0092
86580,12/29/2017,NVDA,16382,-0.035923,12/29/2017,0.0106,-0.0132,0.0006,0.0009,-0.0154
86580,1/31/2018,NVDA,16382,0.270284,1/31/2018,0.0557,-0.0312,-0.0128,0.0012,0.0405
86580,2/28/2018,NVDA,16382,-0.014849,2/28/2018,-0.0365,0.0026,-0.0104,0.0011,0.0355
86580,3/29/2018,NVDA,16382,-0.043017,3/29/2018,-0.0235,0.0406,-0.002,0.0011,-0.0113
86580,4/30/2018,NVDA,16382,-0.028887,4/30/2018,0.0029,0.0113,0.0054,0.0014,0.0037
86580,5/31/2018,NVDA,16382,0.12201,5/31/2018,0.0265,0.0526,-0.0322,0.0014,0.0387
86580,6/29/2018,NVDA,16382,-0.060629,6/29/2018,0.0048,0.0114,-0.0233,0.0014,-0.0236
86580,7/31/2018,NVDA,16382,0.033601,7/31/2018,0.0319,-0.0222,0.0045,0.0016,-0.0142
86580,8/31/2018,NVDA,16382,0.1469,8/31/2018,0.0344,0.0115,-0.04,0.0016,0.0528
86580,9/28/2018,NVDA,16382,0.001211,9/28/2018,0.0006,-0.0229,-0.0171,0.0015,0.0004
86580,10/31/2018,NVDA,16382,-0.249769,10/31/2018,-0.0768,-0.0474,0.034,0.0019,-0.0207
86580,11/30/2018,NVDA,16382,-0.224067,11/30/2018,0.0169,-0.0068,0.0028,0.0018,-0.0137
86580,12/31/2018,NVDA,16382,-0.183136,12/31/2018,-0.0957,-0.0237,-0.0188,0.002,0.0211
86580,1/31/2019,NVDA,16382,0.076779,1/31/2019,0.084,0.0288,-0.0045,0.0021,-0.0866
86580,2/28/2019,NVDA,16382,0.074226,2/28/2019,0.034,0.0206,-0.0271,0.0018,0.0085
86580,3/29/2019,NVDA,16382,0.164009,3/29/2019,0.011,-0.0305,-0.0412,0.0019,0.0219
86580,4/30/2019,NVDA,16382,0.00802,4/30/2019,0.0397,-0.0172,0.0216,0.0021,-0.0297
86580,5/31/2019,NVDA,16382,-0.250718,5/31/2019,-0.0694,-0.0131,-0.0237,0.0021,0.0758
86580,6/28/2019,NVDA,16382,0.212387,6/28/2019,0.0693,0.0028,-0.007,0.0018,-0.0225
86580,7/31/2019,NVDA,16382,0.02734,7/31/2019,0.0119,-0.0193,0.0047,0.0019,0.0288
86580,8/30/2019,NVDA,16382,-0.006223,8/30/2019,-0.0258,-0.0239,-0.0479,0.0016,0.0691
86580,9/30/2019,NVDA,16382,0.039162,9/30/2019,0.0143,-0.0097,0.0677,0.0018,-0.0683
86580,10/31/2019,NVDA,16382,0.154823,10/31/2019,0.0206,0.0029,-0.019,0.0016,0.0015
86580,11/29/2019,NVDA,16382,0.078997,11/29/2019,0.0388,0.0078,-0.0199,0.0012,-0.0264
86580,12/31/2019,NVDA,16382,0.085633,12/31/2019,0.0277,0.0073,0.0178,0.0014,-0.0187
86580,1/31/2020,NVDA,16382,0.004802,1/31/2020,-0.0011,-0.0313,-0.0625,0.0013,0.0597
86580,2/28/2020,NVDA,16382,0.14296,2/28/2020,-0.0813,0.0107,-0.038,0.0012,-0.0035
86580,3/31/2020,NVDA,16382,-0.023957,3/31/2020,-0.1339,-0.0479,-0.1388,0.0013,0.0796
86580,4/30/2020,NVDA,16382,0.108801,4/30/2020,0.1365,0.0245,-0.0134,0,-0.0526
86580,5/29/2020,NVDA,16382,0.214657,5/29/2020,0.0558,0.0249,-0.0485,0.0001,0.0041
86580,6/30/2020,NVDA,16382,0.070559,6/30/2020,0.0246,0.0269,-0.0223,0.0001,-0.0073
86580,7/31/2020,NVDA,16382,0.117607,7/31/2020,0.0577,-0.023,-0.0144,0.0001,0.0759
86580,8/31/2020,NVDA,16382,0.259992,8/31/2020,0.0763,-0.0028,-0.0288,0.0001,0.0044
86580,9/30/2020,NVDA,16382,0.011963,9/30/2020,-0.0363,-0.0003,-0.0265,0.0001,0.0314
86580,10/30/2020,NVDA,16382,-0.073648,10/30/2020,-0.021,0.0427,0.0431,0.0001,-0.032
86580,11/30/2020,NVDA,16382,0.069212,11/30/2020,0.1247,0.0572,0.0215,0.0001,-0.1247
86580,12/31/2020,NVDA,16382,-0.025557,12/31/2020,0.0463,0.0479,-0.0134,0.0001,-0.0238
86580,1/29/2021,NVDA,16382,-0.004998,1/29/2021,-0.0003,0.075,0.0285,0.0001,0.0453
86580,2/26/2021,NVDA,16382,0.055794,2/26/2021,0.0278,0.0207,0.071,0,-0.0793
86580,3/31/2021,NVDA,16382,-0.026414,3/31/2021,0.0308,-0.0228,0.0727,0,-0.0616
86580,4/30/2021,NVDA,16382,0.124455,4/30/2021,0.0493,-0.032,-0.0095,0,0.0122
86580,5/28/2021,NVDA,16382,0.082281,5/28/2021,0.0029,-0.0027,0.0713,0,0.009
86580,6/30/2021,NVDA,16382,0.231586,6/30/2021,0.0275,0.016,-0.0775,0,0.0216
86580,7/30/2021,NVDA,16382,-0.025172,7/30/2021,0.0127,-0.0394,-0.0181,0,-0.0231
86580,8/31/2021,NVDA,16382,0.148213,8/31/2021,0.0291,-0.0046,-0.001,0,0.0249
86580,9/30/2021,NVDA,16382,-0.074559,9/30/2021,-0.0437,0.0067,0.051,0,0.015
86580,10/29/2021,NVDA,16382,0.234167,10/29/2021,0.0665,-0.0237,-0.0045,0,0.0324
86580,11/30/2021,NVDA,16382,0.278054,11/30/2021,-0.0155,-0.0132,-0.0041,0,0.0086
86580,12/31/2021,NVDA,16382,-0.099798,12/31/2021,0.031,-0.0164,0.0322,0.0001,-0.0274
86580,1/31/2022,NVDA,16382,-0.167454,1/31/2022,-0.0625,-0.0596,0.128,0,-0.0262
86580,2/28/2022,NVDA,16382,-0.004125,2/28/2022,-0.0229,0.0219,0.031,0,0.0177
86580,3/31/2022,NVDA,16382,0.119131,3/31/2022,0.0306,-0.0166,-0.0176,0.0001,0.0297
86580,4/29/2022,NVDA,16382,-0.320274,4/29/2022,-0.0946,-0.0138,0.0617,0.0001,0.0487
86580,5/31/2022,NVDA,16382,0.00674,5/31/2022,-0.0034,-0.0196,0.0859,0.0003,0.0246
86580,6/30/2022,NVDA,16382,-0.187928,6/30/2022,-0.0844,0.0218,-0.061,0.0006,0.0073
86580,7/29/2022,NVDA,16382,0.198166,7/29/2022,0.0957,0.028,-0.0403,0.0008,-0.0394
86580,8/31/2022,NVDA,16382,-0.16897,8/31/2022,-0.0377,0.014,0.0029,0.0019,0.021
86580,9/30/2022,NVDA,16382,-0.195508,9/30/2022,-0.0935,-0.0082,0.0002,0.0019,0.0351
86580,10/31/2022,NVDA,16382,0.111871,10/31/2022,0.0783,0.0007,0.0806,0.0023,0.0396
86580,11/30/2022,NVDA,16382,0.254131,11/30/2022,0.0461,-0.0351,0.0141,0.0029,-0.0198
86580,12/30/2022,NVDA,16382,-0.136442,12/30/2022,-0.0641,-0.0069,0.0134,0.0033,0.0453
86580,1/31/2023,NVDA,16382,0.336869,1/31/2023,0.0664,0.0501,-0.04,0.0035,-0.1602
86580,2/28/2023,NVDA,16382,0.188309,2/28/2023,-0.0259,0.0117,-0.0083,0.0034,0.0013
86580,3/31/2023,NVDA,16382,0.196632,3/31/2023,0.0251,-0.0551,-0.0887,0.0036,-0.0245
86580,4/28/2023,NVDA,16382,-0.001008,4/28/2023,0.0061,-0.0336,-0.0005,0.0035,0.0162
86580,5/31/2023,NVDA,16382,0.363437,5/31/2023,0.0035,0.016,-0.0774,0.0036,-0.0065
86580,6/30/2023,NVDA,16382,0.118201,6/30/2023,0.0647,0.0155,-0.002,0.004,-0.0235
86580,7/31/2023,NVDA,16382,0.104652,7/31/2023,0.0321,0.0205,0.0411,0.0045,-0.0405
86580,8/31/2023,NVDA,16382,0.056196,8/31/2023,-0.0239,-0.032,-0.0108,0.0045,0.0377
86580,9/29/2023,NVDA,16382,-0.11857,9/29/2023,-0.0524,-0.0249,0.0145,0.0043,0.0024
86580,10/31/2023,NVDA,16382,-0.062507,10/31/2023,-0.0318,-0.0388,0.0019,0.0047,0.0168
86580,11/30/2023,NVDA,16382,0.146886,11/30/2023,0.0883,-0.0003,0.0166,0.0044,0.0276
86580,12/29/2023,NVDA,16382,0.058927,12/29/2023,0.0487,0.0636,0.0492,0.0043,-0.0548
10107,12/31/2003,MSFT,8048,0.064566,12/31/2003,0.0429,-0.0267,0.016,0.0008,-0.0557
10107,1/30/2004,MSFT,8048,0.01023,1/30/2004,0.0215,0.0255,0.0249,0.0007,0.0258
10107,2/27/2004,MSFT,8048,-0.040506,2/27/2004,0.014,-0.0157,0.0088,0.0006,-0.0114
10107,3/31/2004,MSFT,8048,-0.060309,3/31/2004,-0.0132,0.0172,0.0027,0.0009,0.0017
10107,4/30/2004,MSFT,8048,0.048135,4/30/2004,-0.0183,-0.017,-0.0307,0.0008,-0.0538
10107,5/28/2004,MSFT,8048,0.003827,5/28/2004,0.0117,-0.002,-0.0025,0.0006,0.015
10107,6/30/2004,MSFT,8048,0.08883,6/30/2004,0.0186,0.0226,0.0118,0.0008,0.0205
10107,7/30/2004,MSFT,8048,-0.002451,7/30/2004,-0.0406,-0.0382,0.0324,0.001,-0.0229
